source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400003218,2/4/14,11/1/13,11/30/13,TECHNICAL SUPPORT,0,"$ 6,890.67",FEI BEHAVIORAL HEALTH
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003122,2/4/14,10/1/13,11/22/13,TECHNICAL SUPPORT,0,"$ 2,441.00",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,290,V21400003414,2/7/14,12/12/13,12/13/13,TECHNICAL SUPPORT,0,"$ 3,000.00",ROGER M SOLOMON PH D
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,290,V21400003417,2/7/14,1/13/14,1/16/14,TECHNICAL SUPPORT,0,"$ 6,000.00",ROGER M SOLOMON PH D
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,302,V21400003423,2/7/14,11/1/13,12/8/13,TECHNICAL SUPPORT,0,"$ 37,052.00",BART AND ASSOCIATES INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400003416,2/7/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 5,642.90",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400003443,2/7/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 6,890.67",FEI BEHAVIORAL HEALTH
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,345,V21400003422,2/7/14,10/28/13,10/31/13,TECHNICAL SUPPORT,0,"$ 9,259.25",MICROSOFT ENTERPRISE SERVICES
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400003076,2/7/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 24,840.00",EMERGENT LLC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,279,V21400002688,2/10/14,1/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 8,439.00",SYMPLICITY CORPORATION
